"config_id","config_name","config_key","config_value","config_type","create_by","create_time","update_by","update_time","remark"
"1","主框架页-默认皮肤样式名称","sys.index.skinName","skin-green","Y","admin","2025-11-27 14:34:19","admin","2025-11-27 14:34:19","蓝色 skin-blue、绿色 skin-green、紫色 skin-purple、红色 skin-red、黄色 skin-yellow"
"2","用户管理-账号初始密码","sys.user.initPassword","123456","Y","admin","2025-11-27 14:34:19","",,"初始化密码 123456"
"3","主框架页-侧边栏主题","sys.index.sideTheme","theme-light","Y","admin","2025-11-27 14:34:19","admin","2025-11-27 14:34:19","深色主题theme-dark，浅色主题theme-light"
"4","账号自助-验证码开关","sys.account.captchaEnabled","true","Y","admin","2025-11-27 14:34:19","",,"是否开启验证码功能（true开启，false关闭）"
"5","账号自助-是否开启用户注册功能","sys.account.registerUser","true","Y","admin","2025-11-27 14:34:19","admin","2023-04-22 00:41:41","是否开启注册用户功能（true开启，false关闭）"
"6","主题颜色","sys.index.theme","#11A983","Y","admin","2025-11-27 14:34:19","admin","2025-11-27 14:34:19","主题颜色"
"7","开启TopNav","sys.index.topNav","false","Y","admin","2025-11-27 14:34:19","",,"是否开启TopNav（true开启，false关闭）"
"8","开启Tags-Views","sys.index.tagsView","true","Y","admin","2025-11-27 14:34:19","",,"开启Tags-Views功能（true开启，false关闭）"
"9","显示Logo","sys.index.sidebarLogo","true","Y","admin","2025-11-27 14:34:19","",,"是否显示Logo（true显示，false不显示）"
"10","固定Header","sys.index.fixedHeader","true","Y","admin","2025-11-27 14:34:19","",,"是否固定Header（true开启，false关闭）"
"11","动态标题","sys.index.dynamicTitle","true","Y","admin","2025-11-27 14:34:19","admin","2025-11-27 14:34:19","是否开启动态标题（true开启，false关闭），开启后浏览器标题会根据当前页面的标题动态变化，关闭后浏览器标题将一直显示为系统名称"
"12","用户管理-初始密码修改策略","sys.account.initPasswordModify","1","Y","admin","2025-11-27 14:34:19","admin","2025-11-27 14:34:19","0：初始密码修改策略关闭，没有任何提示，1：提醒用户，如果未修改初始密码，则在登录时就会提醒修改密码对话框"
"13","用户管理-账号密码更新周期","sys.account.passwordValidateDays","0","Y","admin","2025-11-27 14:34:19","admin","2025-11-27 14:34:19","密码更新周期（填写数字，数据初始化值为0不限制，若修改必须为大于0小于365的正整数），如果超过这个周期登录系统时，则在登录时就会提醒修改密码对话框"
