"dict_id","dict_name","dict_type","status","create_by","create_time","update_by","update_time","remark"
"1","用户性别","sys_user_sex","0","admin","2025-11-27 14:34:19","",,"用户性别列表"
"2","菜单状态","sys_show_hide","0","admin","2025-11-27 14:34:19","",,"菜单状态列表"
"3","系统开关","sys_normal_disable","0","admin","2025-11-27 14:34:19","",,"系统开关列表"
"4","任务状态","sys_job_status","0","admin","2025-11-27 14:34:19","",,"任务状态列表"
"5","任务分组","sys_job_group","0","admin","2025-11-27 14:34:19","",,"任务分组列表"
"6","系统是否","sys_yes_no","0","admin","2025-11-27 14:34:19","",,"系统是否列表"
"7","通知类型","sys_notice_type","0","admin","2025-11-27 14:34:19","",,"通知类型列表"
"8","通知状态","sys_notice_status","0","admin","2025-11-27 14:34:19","",,"通知状态列表"
"9","操作类型","sys_oper_type","0","admin","2025-11-27 14:34:19","",,"操作类型列表"
"10","系统状态","sys_common_status","0","admin","2025-11-27 14:34:19","",,"登录状态列表"
"100","请求方式","online_api_method","0","admin","2024-02-21 18:22:03","admin","2024-02-21 18:22:13",
"101","标签名","online_api_tag","0","admin","2024-02-21 18:22:29","",,
"102","响应类型","online_api_result","0","admin","2024-02-21 18:22:46","",,
"103","执行器","online_api_actuator","0","admin","2024-02-21 18:23:03","",,
"104","表达式类型","exp_data_type","0","admin","2024-03-12 09:03:02","",,
"105","监听类型","sys_listener_type","0","admin","2022-12-18 22:03:07","",,
"106","监听值类型","sys_listener_value_type","0","admin","2022-12-18 22:03:39","",,
"107","监听属性","sys_listener_event_type","0","admin","2022-12-18 22:04:29","",,
"108","流程分类","sys_process_category","0","admin","2024-03-12 09:08:18","",,
